un_region,subregionid,ccode,siteid,year,totcarc,illegal
Africa,FS,za,KRU,2011,20,1
Africa,FS,zm,SLW,2011,22,14
Africa,FS,zw,CHE,2011,51,34
Africa,FS,zw,NYA,2011,16,13
Africa,FW,bf,NAZ,2011,6,4
Africa,FW,bf,WBF,2011,4,4
Africa,FW,bj,PDJ,2011,13,9
Africa,FW,ne,WNE,2011,6,5
Africa,FW,ng,YKR,2011,4,4
Asia,SE,cn,XBN,2011,8,1
Asia,SE,id,BBS,2011,1,0
Asia,SE,id,WAY,2011,4,3
