un_region,subregionid,ccode,siteid,year,totcarc,illegal
Africa,FS,za,KRU,2014,35,6
Africa,FS,zm,SLW,2014,77,41
Africa,FS,zw,CHE,2014,52,9
Africa,FS,zw,NYA,2014,27,10
Africa,FW,bf,NAZ,2014,3,2
Africa,FW,bf,WBF,2014,13,13
Africa,FW,bj,PDJ,2014,29,26
Africa,FW,bj,WBJ,2014,11,11
Africa,FW,ci,TAI,2014,1,0
Africa,FW,gn,ZIA,2014,2,2
Africa,FW,ml,GOU,2014,16,12
Africa,FW,ne,WNE,2014,2,0
Africa,FW,ng,YKR,2014,2,1
Africa,FW,tg,FAZ,2014,1,1
Africa,FC,cd,GAR,2015,105,98
Africa,FC,cd,OKP,2015,2,2
Africa,FC,cd,SAL,2015,11,11
Africa,FC,cf,BGS,2015,11,11
Africa,FC,cf,DZA,2015,19,9
Africa,FC,cf,SGB,2015,9,9
Africa,FC,cg,ODZ,2015,10,10
Africa,FW,ml,GOU,2015,18,14
Africa,FW,ci,TAI,2015,1,0
Africa,FW,ne,WNE,2015,6,4
Africa,FW,gn,ZIA,2015,1,1
Africa,FW,bj,PDJ,2015,20,16
Africa,FW,bj,WBJ,2015,5,5
Africa,FW,ng,YKR,2015,2,0
Africa,FS,bw,CHO,2015,197,10
Africa,FE,et,BBL,2015,3,3
Africa,FE,et,KSH,2015,1,0
Africa,FS,mw,KSG,2015,1,1
Africa,FS,mz,MAG,2015,13,12
Africa,FS,mz,NIA,2015,66,63
Africa,FS,na,ETO,2015,13,0
Africa,FS,na,ZBZ,2015,87,31
Africa,FE,ug,MCH,2015,3,2
Africa,FE,ug,QEZ,2015,21,12
Africa,FS,za,KRU,2015,74,30
Africa,FS,zm,SLW,2015,83,46
Africa,FS,zw,CHE,2015,41,12
Africa,FS,zw,MAN,2015,12,9
Africa,FS,zw,NYA,2015,31,11
Africa,FE,ke,SBR,2015,151,54
Africa,FE,ke,TSV,2015,127,42
Africa,FE,ke,EGK,2015,5,2
Africa,FE,ke,MRU,2015,14,2
Africa,FE,tz,KTV,2015,27,25
Africa,FE,tz,MKZ,2015,2,1
Africa,FE,tz,RHR,2015,47,35
Africa,FE,tz,SEL,2015,68,51
Africa,FE,tz,TGR,2015,9,7
Africa,FC,td,ZAK,2015,4,3
Africa,FW,bf,NAZ,2015,14,9
Asia,SE,la,NPH,2003,1,1
Asia,SE,la,NPH,2008,2,2
Asia,SE,mm,SHW,2006,1,0
Asia,SE,la,NPH,2009,1,1
Asia,SE,mm,SHW,2013,3,2
Asia,SE,la,NPH,2011,1,1
Asia,SE,mm,SHW,2011,1,1
Asia,SE,mm,SHW,2009,1,0
Asia,SE,mm,SHW,2012,4,2
